Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,Start,Injury
SG/SF,Treveon Graham,3000,WAS@CHA 11/22/2017 07:00PM ET,11.9,CHA,,2
PG,Marcus Paige,3000,WAS@CHA 11/22/2017 07:00PM ET,2.5,CHA,,
PF,Lauri Markkanen,6600,CHI@UTA 11/22/2017 09:00PM ET,31.8,CHI,1,
SG/SF,Justin Holiday,5800,CHI@UTA 11/22/2017 09:00PM ET,28.125,CHI,1,
PF,Bobby Portis,5500,CHI@UTA 11/22/2017 09:00PM ET,27.286,CHI,,
PG/SG,Kris Dunn,5400,CHI@UTA 11/22/2017 09:00PM ET,27.5,CHI,,
PF/C,Nikola Mirotic,5000,CHI@UTA 11/22/2017 09:00PM ET,0,CHI,,2
C,Robin Lopez,4800,CHI@UTA 11/22/2017 09:00PM ET,24.9,CHI,1,
SG/SF,Denzel Valentine,4800,CHI@UTA 11/22/2017 09:00PM ET,23.933,CHI,1,
PG/SG,Jerian Grant,4600,CHI@UTA 11/22/2017 09:00PM ET,21.467,CHI,1,
PG/SG,Zach LaVine,4500,CHI@UTA 11/22/2017 09:00PM ET,0,CHI,,2
PG/SG,David Nwaba,4000,CHI@UTA 11/22/2017 09:00PM ET,18.313,CHI,,1
SG/SF,Paul Zipser,3800,CHI@UTA 11/22/2017 09:00PM ET,10.625,CHI,,
PF/C,Cristiano Felicio,3000,CHI@UTA 11/22/2017 09:00PM ET,9.883,CHI,,
PG/SG,Cameron Payne,3000,CHI@UTA 11/22/2017 09:00PM ET,0,CHI,,2
SG/SF,Quincy Pondexter,3000,CHI@UTA 11/22/2017 09:00PM ET,7.271,CHI,,
PG,Kay Felder,3000,CHI@UTA 11/22/2017 09:00PM ET,8.425,CHI,,
PG,Ryan Arcidiacono,3000,CHI@UTA 11/22/2017 09:00PM ET,1.5,CHI,,
PG,Antonio Blakeney,3000,CHI@UTA 11/22/2017 09:00PM ET,11.75,CHI,,
SF/PF,LeBron James,11400,BKN@CLE 11/22/2017 07:00PM ET,54.941,CLE,1,
PF/C,Kevin Love,7900,BKN@CLE 11/22/2017 07:00PM ET,37.368,CLE,1,
PG,Isaiah Thomas,6600,BKN@CLE 11/22/2017 07:00PM ET,0,CLE,,2
PG/SG,Dwyane Wade,5400,BKN@CLE 11/22/2017 07:00PM ET,23.281,CLE,,
PG,Derrick Rose,4400,BKN@CLE 11/22/2017 07:00PM ET,19.786,CLE,,2
SG/SF,J.R. Smith,4200,BKN@CLE 11/22/2017 07:00PM ET,16.941,CLE,1,
SF/PF,Jeff Green,3800,BKN@CLE 11/22/2017 07:00PM ET,17.706,CLE,,
SF/PF,Jae Crowder,3800,BKN@CLE 11/22/2017 07:00PM ET,16.5,CLE,1,
PF/C,Tristan Thompson,3800,BKN@CLE 11/22/2017 07:00PM ET,13.781,CLE,,2
PG/SG,Iman Shumpert,3600,BKN@CLE 11/22/2017 07:00PM ET,13.208,CLE,,2
SG/SF,Kyle Korver,3600,BKN@CLE 11/22/2017 07:00PM ET,17.074,CLE,,
PF/C,Channing Frye,3400,BKN@CLE 11/22/2017 07:00PM ET,8.55,CLE,,
PF/C,Ante Zizic,3300,BKN@CLE 11/22/2017 07:00PM ET,4.65,CLE,,
SG/SF,John Holland,3000,BKN@CLE 11/22/2017 07:00PM ET,2,CLE,,
SG/SF,Cedi Osman,3000,BKN@CLE 11/22/2017 07:00PM ET,3.781,CLE,,
