Player,League Value,Proj Value,Avg Cost,FGM,FG%,FTM,3PTM,PTS,REB,AST,ST,BLK,FGM Percentile,FG% Percentile,FTM Percentile,3PTM Percentile,PTS Percentile,REB Percentile,AST Percentile,STL Percentile,BLK Percentile,FGM Z-Score,FG% Z-Score,FTM Z-Score,3PTM Z-Score,PTS Z-Score,REB Z-Score,AST Z-Score,STL Z-Score,BLK Z-Score,Mean Percentile,Mean Percentile/Avg Cost,Mean Z-Score,Mean Z-Score/Avg Cost,Fitted Avg Cost,Avg Cost Residaual
"Jimmy Butler Min - G,F",41,41,43.6,570,0.455,585,91,1816,470,417,143,32,0.919860627,0.519163763,0.989547038,0.651567944,0.947735192,0.81533101,0.916376307,0.989547038,0.606271777,1.698305567,-0.155353768,3.740086044,0.315302499,2.193389191,0.760369976,1.688760429,2.852884253,-0.119657058,0.817266744,21.64912243,1.441565237,38.18658048,50.73405281,-7.134052807
Paul George OKC - F,40,40,47.8,622,0.461,336,195,1775,492,251,119,27,0.933797909,0.571428571,0.930313589,0.961672474,0.933797909,0.839721254,0.794425087,0.947735192,0.515679443,2.020935849,-0.06181559,1.658337565,2.028601059,2.104696981,0.874684373,0.56282561,2.057407318,-0.274070619,0.825396825,21.34448805,1.21906695,31.52466684,42.12431792,5.675682082
Damian Lillard Por - G,40,40,42.9,661,0.444,488,214,2024,368,440,68,20,0.961672474,0.411149826,0.975609756,0.975609756,0.982578397,0.693379791,0.944250871,0.696864111,0.383275261,2.26290856,-0.326840428,2.929123785,2.341607527,2.643339917,0.230366865,1.844763446,0.36701883,-0.490249603,0.780487805,20.76388451,1.311337655,34.88646903,45.78277959,-2.882779587
Hassan Whiteside Mia - C,37,37,41.2,542,0.557,225,0,1309,1088,57,57,162,0.902439024,0.923344948,0.850174216,0.12195122,0.87456446,0.993031359,0.177700348,0.585365854,0.989547038,1.52458157,1.434795258,0.730329207,-1.183833741,1.096634297,3.971565299,-0.753025925,0.002425235,3.895095506,0.713124274,19.17805877,1.190951856,32.02828107,40.98034622,0.219653784
Draymond Green GS - F,37,37,39.8,272,0.418,151,81,776,599,533,154,105,0.536585366,0.209059233,0.721254355,0.609756098,0.581881533,0.923344948,0.972125436,0.996515679,0.965156794,-0.150614123,-0.732172533,0.111656968,0.150562253,-0.056364439,1.430668029,2.475558255,3.217477849,2.13478092,0.723964383,19.65229471,0.953505909,25.88328872,30.83127589,8.968724114
"Kristaps Porzingis NY - F,C",36,36,37.6,443,0.45,198,112,1196,475,97,47,129,0.850174216,0.459930314,0.808362369,0.766550523,0.850174216,0.822299652,0.397212544,0.449477352,0.979094077,0.910343149,-0.23330225,0.504597444,0.661257016,0.852189912,0.786350521,-0.481716331,-0.329023489,2.875966009,0.709252807,19.55478397,0.616295776,16.99186897,16.37446379,21.22553621
Kemba Walker Cha - G,34,34,36.4,643,0.444,304,240,1830,308,434,85,22,0.944250871,0.411149826,0.905923345,0.982578397,0.951219512,0.606271777,0.940766551,0.839721254,0.418118467,2.151228847,-0.326840428,1.390803624,2.769932167,2.223674336,-0.081399672,1.804067007,0.930481659,-0.428484179,0.777777778,21.63758232,1.159273707,32.2507032,39.67480213,-3.274802128
Kyle Lowry Tor - G,34,34,36.2,426,0.464,299,193,1344,286,417,89,19,0.829268293,0.595818815,0.898954704,0.958188153,0.885017422,0.536585366,0.916376307,0.87456446,0.341463415,0.804867865,-0.015046501,1.349001446,1.99565301,1.172347159,-0.195714068,1.688760429,1.063061149,-0.521132315,0.759581882,21.16381638,0.815755353,22.72894721,24.75486632,11.44513368
Mike Conley Mem - G,32,32,30.1,464,0.459,316,171,1415,242,433,92,19,0.864111498,0.554006969,0.916376307,0.940766551,0.895470383,0.393728223,0.933797909,0.898954704,0.341463415,1.040636147,-0.092994983,1.491128852,1.633224469,1.325936109,-0.424342862,1.797284267,1.162495765,-0.521132315,0.748741773,21.99254625,0.823581717,24.19079534,25.09807735,5.001922649
"Gordon Hayward Bos - G,F",32,32,34.2,545,0.471,362,149,1601,394,252,73,20,0.905923345,0.641114983,0.947735192,0.912891986,0.919860627,0.731707317,0.801393728,0.735191638,0.383275261,1.543194855,0.094081373,1.875708892,1.270795927,1.728295893,0.365465697,0.56960835,0.532743192,-0.490249603,0.775454897,21.95371914,0.832182731,23.55972733,25.47586889,8.724131105
