"Rank","Player","Matchup","Salary","Avg","Prob","Status"
103,"Tim Hardaway Jr.","TOR@NY",6500,30.766,0,""
104,"Courtney Lee","TOR@NY",4700,23.406,0,""
105,"Frank Ntilikina","TOR@NY",4000,15.607,0,"GTD"
106,"Damyean Dotson","TOR@NY",3500,5.1,0,""
107,"Ron Baker","TOR@NY",3000,12,0,"GTD"
108,"Alex Abrines","GS@OKC",3400,8.719,0,""
109,"Raymond Felton","GS@OKC",3300,14.828,0,""
110,"Andre Roberson","GS@OKC",3300,12.938,0,""
111,"PJ Dozier","GS@OKC",3000,0,0,""
112,"Terrance Ferguson","GS@OKC",3000,1.25,0,""
113,"Jonathon Simmons","ORL@MIN",4400,22.338,0,""
114,"D.J. Augustin","ORL@MIN",4000,19.025,0,""
115,"Arron Afflalo","ORL@MIN",3000,4.938,0,""
116,"Wes Iwundu","ORL@MIN",3000,4.05,0,""
117,"Jerryd Bayless","POR@PHI",3900,18.475,0,""
118,"Timothe Luwawu-Cabarrot","POR@PHI",3100,10.85,0,""
119,"Furkan Korkmaz","POR@PHI",3000,2.25,0,""
120,"Josh Jackson","MIL@PHO",3600,18.153,0,""
121,"Troy Daniels","MIL@PHO",3300,9.514,0,""
122,"Evan Turner","POR@PHI",4400,18.75,0,""
123,"Shabazz Napier","POR@PHI",3700,14.192,0,""
124,"Pat Connaughton","POR@PHI",3000,11.074,0,""
125,"Bryn Forbes","SA@NO",3900,10.578,0,""
126,"Manu Ginobili","SA@NO",3800,16.732,0,""
127,"Brandon Paul","SA@NO",3700,9.617,0,""
128,"Darrun Hilliard","SA@NO",3000,2.167,0,""
129,"Buddy Hield","LAL@SAC",5000,22.383,0,"GTD"
130,"George Hill","LAL@SAC",4100,19.767,0,""
131,"Bogdan Bogdanovic","LAL@SAC",3600,16.804,0,""
132,"Garrett Temple","LAL@SAC",3500,16.047,0,""
133,"Justin Jackson","LAL@SAC",3400,10.817,0,""
134,"Frank Mason III","LAL@SAC",3000,12.375,0,""
135,"Vince Carter","LAL@SAC",3000,6.278,0,"GTD"
136,"Malachi Richardson","LAL@SAC",3000,7.975,0,""
137,"C.J. Miles","TOR@NY",4200,17.183,0,""
138,"Norman Powell","TOR@NY",3700,16.542,0,"GTD"
139,"Donovan Mitchell","CHI@UTA",6600,26.667,0,""
140,"Rodney Hood","CHI@UTA",5800,25.547,0,""
141,"Joe Ingles","CHI@UTA",5000,24.181,0,""
142,"Thabo Sefolosha","CHI@UTA",4200,17.971,0,""
143,"Alec Burks","CHI@UTA",3500,12.515,0,""
144,"Kelly Oubre Jr.","WAS@CHA",4400,22.235,0,""
145,"Jodie Meeks","WAS@CHA",3400,10.882,0,""
146,"Tomas Satoransky","WAS@CHA",3200,6.917,0,""
