"Rank","Player","Matchup","Salary","Avg","Prob","Status"
104,"Marreese Speights","ORL@MIN",3100,13.808,0,""
105,"Khem Birch","ORL@MIN",3000,3,0,""
106,"Dario Saric","POR@PHI",5000,21.328,0,""
107,"Richaun Holmes","POR@PHI",4100,11.958,0,""
108,"Amir Johnson","POR@PHI",3600,15.107,0,""
109,"James Michael McAdoo","POR@PHI",3000,5,0,""
110,"Alex Len","MIL@PHO",4600,24.059,0,""
111,"Greg Monroe","MIL@PHO",4600,18.344,0,""
112,"Marquese Chriss","MIL@PHO",3900,18.472,0,""
113,"Dragan Bender","MIL@PHO",3400,13.819,0,""
114,"Alec Peters","MIL@PHO",3000,5.625,0,""
115,"Caleb Swanigan","POR@PHI",3700,8.542,0,""
116,"Maurice Harkless","POR@PHI",3500,15.632,0,""
117,"Noah Vonleh","POR@PHI",3500,16.725,0,""
118,"Ed Davis","POR@PHI",3400,17.485,0,""
119,"Meyers Leonard","POR@PHI",3200,11.4,0,""
120,"Jake Layman","POR@PHI",3000,3.3,0,""
121,"Zach Collins","POR@PHI",3000,1.5,0,""
122,"Pau Gasol","SA@NO",5900,28.544,0,""
123,"Rudy Gay","SA@NO",5200,22.456,0,""
124,"Davis Bertans","SA@NO",3000,6.333,0,""
125,"Joffrey Lauvergne","SA@NO",3000,10.571,0,""
126,"Matt Costello","SA@NO",3000,12.25,0,""
127,"Zach Randolph","LAL@SAC",5000,23.3,0,""
128,"Willie Cauley-Stein","LAL@SAC",4700,22.5,0,""
129,"Skal Labissiere","LAL@SAC",3500,16.191,0,""
130,"Jakarr Sampson","LAL@SAC",3000,6.875,0,""
131,"Jack Cooley","LAL@SAC",3000,4.75,0,""
132,"Serge Ibaka","TOR@NY",5100,23.161,0,""
133,"Pascal Siakam","TOR@NY",3800,17.817,0,""
134,"OG Anunoby","TOR@NY",3700,13.078,0,""
135,"Jakob Poeltl","TOR@NY",3300,15.594,0,""
136,"Malcolm Miller","TOR@NY",3000,0,0,"GTD"
137,"Alfonzo McKinnie","TOR@NY",3000,2.667,0,""
138,"Derrick Favors","CHI@UTA",6300,24.236,0,""
139,"Jonas Jerebko","CHI@UTA",3900,11.038,0,""
140,"Eric Griffin","CHI@UTA",3000,0,0,""
141,"Tony Bradley","CHI@UTA",3000,1.75,0,""
142,"Ekpe Udoh","CHI@UTA",3000,11.264,0,""
143,"Markieff Morris","WAS@CHA",4600,18.4,0,""
144,"Jason Smith","WAS@CHA",3500,6.214,0,""
145,"Mike Scott","WAS@CHA",3500,13.817,0,""
146,"Chris McCullough","WAS@CHA",3000,6.417,0,""
