"Player","League Value","Proj Value","Avg Cost","% Owned","FGM/A","FG%","FTM","3PTM","PTS","REB","AST","ST","BLK"
"Monta Ellis Ind - G","$0 ","$0 ","$1.00 ","5%","247/557","0.443","93","43","630","204","236","78","27"
"Emmanuel Mudiay Den - G","$0 ","$0 ","$1.00 ","16%","208/551","0.377","131","56","603","178","217","41","13"
"Jake Layman Por - F","$0 ","$0 ","$-","4%","26/89","0.292","13","13","78","24","11","8","3"
"Deron Williams Cle - G","$0 ","$0 ","$-","4%","263/600","0.438","90","85","701","147","360","31","8"
"Matthew Dellavedova Mil - G","$0 ","$0 ","$1.00 ","10%","208/534","0.39","82","79","577","146","357","53","0"
"Chandler Parsons Mem - F","$0 ","$0 ","$1.20 ","25%","75/222","0.338","35","25","210","84","55","20","5"
"Stanley Johnson Det - G,F","$0 ","$0 ","$-","5%","129/365","0.353","36","45","339","189","105","56","24"
"Mike Muscala Atl - F,C","$0 ","$0 ","$-","4%","170/337","0.504","49","46","435","239","95","30","41"
"Milos Teodosic LAC - G","$0 ","$0 ","$1.70 ","35%","-/-","-","-","-","-","-","-","-","-"
"Tyson Chandler Pho - C","$0 ","$0 ","$1.20 ","24%","153/228","0.671","91","0","397","539","30","33","24"
"P.J. Tucker Hou - G,F","$0 ","$0 ","$-","6%","199/482","0.413","72","70","540","471","99","116","19"
"Kyle O'Quinn NY - F,C","$0 ","$0 ","$-","5%","215/413","0.521","64","2","496","438","117","36","104"
"Cory Joseph Ind - G","$0 ","$0 ","$1.00 ","8%","299/661","0.452","94","48","740","235","265","66","13"
"DeMarre Carroll Bkn - F","$0 ","$0 ","$1.10 ","14%","220/550","0.4","89","109","638","275","74","80","27"
"C.J. Miles Tor - G,F","$0 ","$0 ","$1.10 ","14%","281/647","0.434","84","169","815","229","48","46","25"
"Tony Allen NO - G,F","$0 ","$0 ","$-","4%","274/595","0.461","80","15","643","391","98","115","29"
"Dante Exum Uta - G","$0 ","$0 ","$-","4%","155/363","0.427","58","44","412","132","110","21","12"
"Sean Kilpatrick Bkn - G","$0 ","$0 ","$1.10 ","8%","305/735","0.415","204","105","919","280","157","45","6"
"Timofey Mozgov Bkn - C","$0 ","$0 ","$1.40 ","11%","169/328","0.515","63","0","401","264","43","16","31"
"Lance Stephenson Ind - G,F","$0 ","$0 ","$1.90 ","21%","54/120","0.45","8","6","122","52","59","5","3"
"Alan Williams Pho - F,C","$0 ","$0 ","$1.10 ","3%","138/267","0.517","70","0","346","292","23","27","32"
"Tony Parker SA - G","$0 ","$0 ","$1.90 ","7%","265/569","0.466","85","23","638","113","285","34","2"
"Kelly Oubre Jr. Was - F","$0 ","$0 ","$-","5%","186/442","0.421","75","54","501","261","47","58","17"
"Paul Zipser Chi - F","$0 ","$0 ","$-","3%","88/221","0.398","31","33","240","125","36","15","16"
"Thon Maker Mil - F,C","$0 ","$0 ","$1.40 ","23%","83/181","0.459","32","28","226","114","23","10","26"
"Jamal Crawford Min - G,F","$0 ","$0 ","$1.10 ","16%","359/870","0.413","174","116","1008","129","213","61","14"
"Glenn Robinson III Ind - G,F","$0 ","$0 ","$-","3%","158/338","0.467","54","49","419","245","47","41","20"
"Delon Wright Tor - G","$0 ","$0 ","$-","3%","49/116","0.422","42","10","150","48","57","27","11"
"Kyle Korver Cle - G,F","$0 ","$0 ","$1.20 ","14%","239/515","0.464","38","162","678","186","110","34","21"
"Tony Snell Mil - G,F","$0 ","$0 ","$-","4%","246/541","0.455","47","144","683","248","96","55","14"
"Alex Len Pho - F,C","$0 ","$0 ","$1.90 ","24%","230/463","0.497","150","3","613","510","44","38","98"
"Joe Johnson Uta - G,F","$0 ","$0 ","$1.40 ","8%","273/625","0.437","63","106","715","243","144","36","18"
"Jonathon Simmons Orl - G,F","$0 ","$0 ","$1.20 ","11%","177/421","0.42","99","30","483","160","126","47","25"
"John Henson Mil - F,C","$0 ","$0 ","$-","3%","159/309","0.515","74","0","392","295","57","29","78"
"Evan Turner Por - G,F","$0 ","$0 ","$1.00 ","6%","235/552","0.426","85","31","586","247","205","54","24"
"Kenneth Faried Den - F,C","$0 ","$0 ","$1.20 ","15%","228/416","0.548","131","0","587","462","55","43","40"
"Ian Mahinmi Was - C","$0 ","$0 ","$-","2%","65/111","0.586","43","0","173","150","19","34","24"
"Denzel Valentine Chi - G,F","$0 ","$0 ","$-","7%","102/288","0.354","14","73","291","151","63","30","7"
"Donovan Mitchell Uta - G","$0 ","$0 ","$1.70 ","7%","-/-","-","-","-","-","-","-","-","-"
"Cheick Diallo NO - F","$0 ","$0 ","$-","2%","36/76","0.474","15","0","87","73","4","4","7"
"Sam Dekker LAC - F","$0 ","$0 ","$-","2%","203/429","0.473","38","60","504","284","76","38","21"
"Dejounte Murray SA - G","$0 ","$0 ","$1.10 ","6%","50/116","0.431","21","9","130","42","48","8","6"
"E'Twaun Moore NO - G","$0 ","$0 ","$-","3%","283/619","0.457","57","77","700","152","164","50","32"
"Juancho Hernangomez Den - F","$0 ","$0 ","$-","3%","101/224","0.451","57","46","305","187","29","30","12"
"Ante Zizic Cle - C","$0 ","$0 ","$-","2%","-/-","-","-","-","-","-","-","-","-"
"Jared Dudley Pho - F","$0 ","$0 ","$-","1%","157/346","0.454","43","77","434","225","121","42","16"
"Nene Hilario Hou - F,C","$0 ","$0 ","$-","3%","245/397","0.617","116","3","609","282","65","56","39"
"T.J. McConnell Phi - G","$0 ","$0 ","$1.00 ","7%","236/512","0.461","73","11","556","251","534","134","10"
"Patrick McCaw GS - G,F","$0 ","$0 ","$-","2%","106/245","0.433","29","41","282","100","77","32","15"
"Lance Thomas NY - G,F","$0 ","$0 ","$-","2%","97/244","0.398","43","38","275","142","35","21","5"
"Iman Shumpert Cle - G,F","$0 ","$0 ","$-","2%","201/489","0.411","71","94","567","218","109","62","27"
"Doug McDermott NY - F","$0 ","$0 ","$-","4%","222/497","0.447","71","77","592","179","58","13","5"
"James Ennis III Mem - G,F","$0 ","$0 ","$-","1%","146/321","0.455","86","51","429","259","64","46","19"
"Justin Jackson Sac - F","$0 ","$0 ","$1.00 ","5%","-/-","-","-","-","-","-","-","-","-"
"Bismack Biyombo Orl - F,C","$0 ","$0 ","$1.20 ","11%","179/339","0.528","125","0","483","567","74","25","91"
"Bobby Portis Chi - F,C","$0 ","$0 ","$1.60 ","8%","183/375","0.488","39","32","437","296","35","16","11"
"Ivica Zubac LAL - C","$0 ","$0 ","$1.00 ","5%","126/238","0.529","32","0","284","159","30","14","33"
"Kosta Koufos Sac - F,C","$0 ","$0 ","$-","2%","216/392","0.551","38","0","470","403","47","36","48"
"Jonas Jerebko Uta - F","$0 ","$0 ","$-","2%","114/262","0.435","26","45","299","272","71","25","17"
"Cameron Payne Chi - G","$0 ","$0 ","$-","2%","64/193","0.332","5","27","160","48","55","14","4"
"Jon Leuer Det - F,C","$0 ","$0 ","$1.20 ","8%","310/646","0.48","98","49","767","402","111","31","26"
"Cristiano Felicio Chi - C","$0 ","$0 ","$-","2%","128/221","0.579","60","0","316","311","40","25","17"
